University,Courses,Chevening
De Montfort University,Business Intelligence Systems and Data Mining,False
De Montfort University,Data Analytics,False
Edge Hill University,Big Data Analytics,False
Glasgow Caledonian University,Big Data Technologies,False
University of Hertfordshire,Data Science,False
University of Hertfordshire,Data Science and Analytics,False
University of the Highlands and Islands (UHI),Applied Data Science,False
Imperial College London,Environmental Data Science and Machine Learning,False
Imperial College London,Health Data Analytics and Machine Learning,False
"King's College London, University of London",Big Data in Culture & Society,False
"King's College London, University of London",Big Data in Culture and Society,False
"King's College London, University of London",Data Science,False
Leeds Beckett University,Data Science,False
University of Leicester,Actuarial Science with Data Analytics,False
University of Leicester,Data Analysis for Business Intelligence,False
University of Leicester,Data Analysis for Business Intelligence MSc,False
Loughborough University,Data Science,False
Loughborough University London,Cyber Security and Big Data,False
University of Manchester,ACS: Data and Knowledge Management,False
University of Manchester,Health Data Science,False
University of Manchester,Data Science (Applied Urban Analytics),False
University of Manchester,Data Science (Business and Management),False
University of Manchester,Data Science (Computer Science Data Informatics),False
University of Manchester,Data Science (Environmental Analytics),False
University of Manchester,Data Science (Mathematics),False
University of Manchester,Data Science (Social Analytics),False
Middlesex University,Data Science,False
Northumbria University,Data Science,False
Northumbria University,Information Science (Data Analytics),False
Oxford Brookes University,Data Analytics,False
University of Oxford,Social Data Science,False
"Royal Holloway, University of London",Data Science and Analytics,False
Sheffield Hallam University,Big Data Analytics,False
Sheffield Hallam University,Data Analytics with Banking and Finance,False
University of Sheffield,Data Analytics,False
University of Sheffield,Data Communications,False
University of Sheffield,Data Science,False
University of Sheffield,Psychological Research Methods with Data Science,False
University of Sheffield,Cultural Data Management and Communication,False
Solent University (Southampton),Applied AI and Data Science,False
Solent University (Southampton),Data Analytics Engineering,False
Solent University (Southampton),Applied AI and Data Science,False
University of Sunderland,Data Science,False
Teesside University,Data Science,False
Teesside University,Crime Intelligence and Data Analytics,False
Ulster University,Data Science,False
Ulster University,Data Science with Applied Research,False
University of Bolton,Cloud & Network Security,False
University of Bolton,Cloud and Network Security,False
"City, University of London",Software Engineering with Cloud Computing,False
University of East London,Cloud Computing,False
University of Leeds,Advanced Computer Science (Cloud Computing),True
University of Lincoln,Cloud Computing,False
Newcastle University,Cloud Computing,True
Nottingham Trent University,Cloud and Enterprise Computing,True
University of Leicester,Cloud Computing,False
Middlesex University,Network Management and Cloud Computing,False
